"ID_REF"	"GSM2509848"	"GSM2509849"	"GSM2509850"	"GSM2509851"
"3045312_st"	11.46005	11.30746	11.56342	11.31087
"3045314_st"	12.85109	12.71321	12.81678	12.97093
"3045327_st"	11.02935	11.02978	11.25116	11.57315
"3045329_st"	8.206816	9.406651	9.384156	9.685992
"3045333_st"	11.82166	11.86136	11.88104	11.74744
"3045347_st"	12.47165	12.57529	12.52972	12.75795
"3045349_st"	11.16378	11.34912	11.3565	10.85853
"3045353_st"	12.71831	12.55004	12.63405	12.72028
"3051144_st"	12.64384	12.42433	12.419	12.59596
"3051147_st"	11.8647	11.46625	11.46053	11.70644
"3064803_st"	13.15979	13.10722	12.98158	13.22346
"3064816_st"	10.43875	10.35668	10.1497	10.48503
"3064820_st"	11.05551	10.99997	10.69636	10.89829
"3080337_st"	9.081375	8.238211	8.445882	8.61272
"3080344_st"	10.84879	10.58305	11.08959	11.18066
"3080345_st"	9.480708	9.722311	9.597046	9.676327
"3080350_st"	10.77269	10.53621	10.52988	10.70603
"3080354_st"	10.62041	10.62613	10.68406	11.01225
"3080358_st"	9.497272	9.700369	9.470068	9.378749
"3080363_st"	12.01292	12.02625	12.09796	12.08099
"3080367_st"	12.72516	12.68499	12.65183	12.65748
"3080369_st"	12.78667	12.54115	12.49413	12.64601
"3080378_st"	11.63559	11.54742	11.74103	11.97945
"3080380_st"	11.43317	11.27726	11.21323	11.36637
"3080386_st"	12.07839	11.65154	11.84056	11.92288
"3090545_st"	3.111476	4.347234	4.920588	3.239747
"3090546_st"	8.498686	8.246649	8.266596	8.359571
"3090548_st"	11.4423	11.42945	11.40359	11.4402
"3090550_st"	8.466454	7.764841	8.168948	8.261441
"3090556_st"	9.978132	9.736471	10.19478	10.34695
"3090558_st"	9.259652	8.482063	8.590338	8.970377
"3090559_st"	7.845235	7.586302	7.599554	8.07762
"3145074_st"	10.72035	10.59359	10.42827	10.12817
"3145076_st"	11.43833	11.27525	11.26172	11.35211
"3145080_st"	10.75932	10.57625	10.66533	10.8237
"3145082_st"	10.91622	10.84507	10.8597	11.04163
"3145087_st"	10.57102	10.78851	10.65788	10.63679
"3145090_st"	10.89062	10.75225	10.49763	10.51725
"3145092_st"	8.399632	8.302279	7.273593	8.122899
"3145772_st"	10.00751	10.3257	10.38806	10.63318
"3145774_st"	10.29563	10.33607	10.65411	10.59694
"3145778_st"	7.230832	8.476582	8.581047	7.873194
"3145780_st"	8.105697	8.077934	8.761416	8.711527
"3145782_st"	10.13309	10.43693	9.945019	6.603025
"3145789_st"	8.172225	7.876268	7.835794	7.862386
"3145790_st"	7.710527	7.890018	7.341714	6.979676
"3145791_st"	8.055614	7.401716	8.237431	8.028629
"3149233_st"	11.14112	10.74543	11.07579	10.99132
"3149235_st"	12.67701	12.48019	12.31298	12.28777
"3149237_st"	13.0811	13.07966	12.98565	13.11299
"3149242_st"	12.70068	12.62415	12.55768	12.67985
"3149249_st"	10.77443	10.64047	10.78361	10.6313
"3151616_st"	6.311665	6.58574	7.297383	6.479932
"3151622_st"	9.901752	9.860086	10.14701	10.10199
"3151624_st"	9.525627	9.098166	9.879604	9.991228
"3151626_st"	8.647154	8.912032	9.016202	9.070127
"3151628_st"	10.69268	10.56411	10.74322	10.73513
"3151630_st"	9.356986	9.482405	9.452353	9.527746
"3151633_st"	9.092176	9.232172	9.019598	9.295774
"3151635_st"	7.628167	7.950752	8.128216	8.193482
"3151639_st"	9.618954	9.574315	9.915199	9.98963
"3151640_st"	11.38784	11.19422	11.22862	11.28998
"3155297_st"	8.141795	7.988921	7.807916	7.730475
"3155304_st"	8.865504	8.49641	9.180535	9.184306
"3155310_st"	9.705762	9.673179	9.643304	9.642206
"3155312_st"	7.879335	7.469312	7.829465	7.230832
"3155314_st"	8.887096	8.856299	9.165434	9.669256
"3155316_st"	9.455757	9.439227	9.271369	9.980796
"3155318_st"	9.559144	9.09543	9.456506	9.459043
"3155326_st"	9.386314	9.290502	9.448548	9.179186
"3183407_st"	9.273933	8.718384	8.624416	8.721722
"3183417_st"	4.501452	4.924862	4.603171	4.845025
"3183426_st"	12.78302	12.50929	12.74839	12.82838
"3183429_st"	12.17974	12.06267	12.35206	12.36717
"3183433_st"	11.75137	11.66132	11.62671	11.78802
"3183436_st"	11.47117	11.46939	11.54045	11.61388
"3183461_st"	10.04126	9.556908	9.704266	9.615095
"3183469_st"	10.1497	9.706427	9.768531	10.15192
"3183473_st"	10.22244	10.25528	10.12698	10.12116
"3183477_st"	10.37037	10.5634	10.15856	10.54517
"3183487_st"	10.26586	10.21488	10.19717	10.2963
"3183494_st"	9.071354	8.543841	9.192193	8.90376
"3183497_st"	7.575233	7.835794	7.924572	7.438455
"3196673_st"	10.00895	10.49038	10.14116	9.883658
"3196675_st"	10.60543	10.63272	10.71753	10.52063
"3196677_st"	11.95206	11.80838	11.73969	11.80156
"3196681_st"	9.024425	9.075435	9.235898	9.230157
"3196683_st"	10.70644	10.47595	10.45297	10.43489
"3213015_st"	8.925368	9.484341	9.242043	9.314438
"3213017_st"	10.50329	10.59825	10.4696	10.2963
"3213019_st"	10.34549	10.27553	10.40476	10.52387
"3213021_st"	9.927718	9.790689	9.915818	10.00451
"3213023_st"	11.94021	11.87899	11.99275	11.94215
"3213025_st"	12.47155	12.37032	12.5667	12.50283
"3213027_st"	11.05424	11.14797	11.28111	11.59536
"3213032_st"	11.62258	11.65958	11.69467	11.8253
"3213036_st"	11.57076	11.51291	11.49284	11.58073
"3213041_st"	11.27049	10.99768	11.31958	11.37338
"3213043_st"	11.53222	11.3165	11.63358	11.40516
"3213243_st"	7.989874	7.778347	7.907135	7.42168
"3213245_st"	10.59321	10.53488	10.17275	10.52983
"3213248_st"	8.984697	9.199175	8.869903	8.890467
"3213250_st"	9.873076	9.594891	9.668838	9.741435
"3213253_st"	6.961665	6.905072	6.399521	6.964424
"3213254_st"	7.141875	7.070337	7.03022	7.181992
"3213255_st"	9.056528	9.406651	9.334183	9.464463
"3213257_st"	10.01571	9.989337	9.395983	9.949767
"3213259_st"	8.781984	8.193386	8.340749	8.213119
"3213260_st"	8.184674	8.689857	8.431329	8.668741
"3213261_st"	9.384809	9.092056	9.124125	8.986935
"3234798_st"	6.985907	7.331413	6.455249	6.532438
"3234802_st"	8.509457	7.65483	7.2777	7.890147
"3234806_st"	10.12305	9.723063	9.313132	9.559625
"3234813_st"	10.75326	10.52394	10.43191	10.29771
"3234816_st"	9.505985	9.372809	9.348264	8.877522
"3234819_st"	10.02256	9.59176	9.399219	9.344207
"3234821_st"	9.080921	8.807334	8.288177	8.237071
"3234823_st"	8.224647	8.85248	7.436874	8.187554
"3234824_st"	6.321479	6.40465	4.781277	5.180695
"3234825_st"	8.736732	7.979479	6.727175	7.764147
"3255800_st"	12.09093	12.18358	11.96932	12.04009
"3255815_st"	11.92273	11.66002	11.96877	11.85761
"3255819_st"	11.12576	11.31652	11.25473	11.35038
"3271665_st"	12.89355	12.9346	13.05208	12.97668
"3271667_st"	13.32594	13.16134	13.12745	13.02919
"3271672_st"	13.00179	12.9872	12.80191	12.73695
"3271690_st"	13.01303	13.00937	12.91491	12.96011
"3281489_st"	11.23449	11.25943	11.35519	11.67373
"3281491_st"	12.87399	12.80494	12.83215	12.84774
"3281493_st"	10.22926	10.09824	10.45916	10.45562
"3281495_st"	10.41306	10.23567	10.49781	10.41306
"3281497_st"	10.91791	11.22672	11.1633	11.285
"3281500_st"	9.522012	10.09995	10.59964	9.914325
"3281504_st"	11.65736	11.63445	11.8295	11.78268
"3281506_st"	11.48602	11.51351	11.73269	11.72083
"3281508_st"	11.86804	12.06706	12.1576	12.12502
"3281511_st"	11.20882	10.96702	11.73501	11.7624
"3281513_st"	11.98278	11.86996	12.02763	12.16791
"3281519_st"	11.41043	11.07762	11.53221	11.69025
"3295148_st"	8.054345	7.83762	7.791733	7.882725
"3295150_st"	6.153996	6.826033	7.110712	5.391615
"3295152_st"	8.772181	9.106457	8.83197	9.393304
"3295154_st"	9.564401	9.682764	9.645009	9.637458
"3295157_st"	8.178857	7.579998	8.010952	7.760136
"3295162_st"	7.619923	7.275747	6.584353	7.920111
"3295167_st"	7.870115	7.703429	7.8495	8.122618
"3305613_st"	10.4031	10.22757	10.70257	10.62864
"3305617_st"	8.077934	8.743856	9.527398	9.534225
